OrdFY25	POAexemptCode	Description
36147	S21.439D	"Puncture wound without foreign body of unspecified back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36148	S21.439S	"Puncture wound without foreign body of unspecified back wall of thorax with penetration into thoracic cavity, sequela"
36152	S21.441D	"Puncture wound with foreign body of right back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36153	S21.441S	"Puncture wound with foreign body of right back wall of thorax with penetration into thoracic cavity, sequela"
36156	S21.442D	"Puncture wound with foreign body of left back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36157	S21.442S	"Puncture wound with foreign body of left back wall of thorax with penetration into thoracic cavity, sequela"
36160	S21.449D	"Puncture wound with foreign body of unspecified back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36161	S21.449S	"Puncture wound with foreign body of unspecified back wall of thorax with penetration into thoracic cavity, sequela"
36165	S21.451D	"Open bite of right back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36166	S21.451S	"Open bite of right back wall of thorax with penetration into thoracic cavity, sequela"
36169	S21.452D	"Open bite of left back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36170	S21.452S	"Open bite of left back wall of thorax with penetration into thoracic cavity, sequela"
36173	S21.459D	"Open bite of unspecified back wall of thorax with penetration into thoracic cavity, subsequent encounter"
36174	S21.459S	"Open bite of unspecified back wall of thorax with penetration into thoracic cavity, sequela"
36178	S21.90XD	"Unspecified open wound of unspecified part of thorax, subsequent encounter"
36179	S21.90XS	"Unspecified open wound of unspecified part of thorax, sequela"
36182	S21.91XD	"Laceration without foreign body of unspecified part of thorax, subsequent encounter"
36183	S21.91XS	"Laceration without foreign body of unspecified part of thorax, sequela"
36186	S21.92XD	"Laceration with foreign body of unspecified part of thorax, subsequent encounter"
36187	S21.92XS	"Laceration with foreign body of unspecified part of thorax, sequela"
36190	S21.93XD	"Puncture wound without foreign body of unspecified part of thorax, subsequent encounter"
36191	S21.93XS	"Puncture wound without foreign body of unspecified part of thorax, sequela"
36194	S21.94XD	"Puncture wound with foreign body of unspecified part of thorax, subsequent encounter"
36195	S21.94XS	"Puncture wound with foreign body of unspecified part of thorax, sequela"
36198	S21.95XD	"Open bite of unspecified part of thorax, subsequent encounter"
36199	S21.95XS	"Open bite of unspecified part of thorax, sequela"
36206	S22.000D	"Wedge compression fracture of unspecified thoracic vertebra, subsequent encounter for fracture with routine healing"
36207	S22.000G	"Wedge compression fracture of unspecified thoracic vertebra, subsequent encounter for fracture with delayed healing"
36208	S22.000K	"Wedge compression fracture of unspecified thoracic vertebra, subsequent encounter for fracture with nonunion"
36209	S22.000S	"Wedge compression fracture of unspecified thoracic vertebra, sequela"
36213	S22.001D	"Stable burst fracture of unspecified thoracic vertebra, subsequent encounter for fracture with routine healing"
36214	S22.001G	"Stable burst fracture of unspecified thoracic vertebra, subsequent encounter for fracture with delayed healing"
36215	S22.001K	"Stable burst fracture of unspecified thoracic vertebra, subsequent encounter for fracture with nonunion"
36216	S22.001S	"Stable burst fracture of unspecified thoracic vertebra, sequela"
36220	S22.002D	"Unstable burst fracture of unspecified thoracic vertebra, subsequent encounter for fracture with routine healing"
36221	S22.002G	"Unstable burst fracture of unspecified thoracic vertebra, subsequent encounter for fracture with delayed healing"
36222	S22.002K	"Unstable burst fracture of unspecified thoracic vertebra, subsequent encounter for fracture with nonunion"
36223	S22.002S	"Unstable burst fracture of unspecified thoracic vertebra, sequela"
36227	S22.008D	"Other fracture of unspecified thoracic vertebra, subsequent encounter for fracture with routine healing"
36228	S22.008G	"Other fracture of unspecified thoracic vertebra, subsequent encounter for fracture with delayed healing"
36229	S22.008K	"Other fracture of unspecified thoracic vertebra, subsequent encounter for fracture with nonunion"
36230	S22.008S	"Other fracture of unspecified thoracic vertebra, sequela"
36234	S22.009D	"Unspecified fracture of unspecified thoracic vertebra, subsequent encounter for fracture with routine healing"
36235	S22.009G	"Unspecified fracture of unspecified thoracic vertebra, subsequent encounter for fracture with delayed healing"
36236	S22.009K	"Unspecified fracture of unspecified thoracic vertebra, subsequent encounter for fracture with nonunion"
36237	S22.009S	"Unspecified fracture of unspecified thoracic vertebra, sequela"
36242	S22.010D	"Wedge compression fracture of first thoracic vertebra, subsequent encounter for fracture with routine healing"
36243	S22.010G	"Wedge compression fracture of first thoracic vertebra, subsequent encounter for fracture with delayed healing"
36244	S22.010K	"Wedge compression fracture of first thoracic vertebra, subsequent encounter for fracture with nonunion"
36245	S22.010S	"Wedge compression fracture of first thoracic vertebra, sequela"
36249	S22.011D	"Stable burst fracture of first thoracic vertebra, subsequent encounter for fracture with routine healing"
36250	S22.011G	"Stable burst fracture of first thoracic vertebra, subsequent encounter for fracture with delayed healing"
36251	S22.011K	"Stable burst fracture of first thoracic vertebra, subsequent encounter for fracture with nonunion"
36252	S22.011S	"Stable burst fracture of first thoracic vertebra, sequela"
36256	S22.012D	"Unstable burst fracture of first thoracic vertebra, subsequent encounter for fracture with routine healing"
36257	S22.012G	"Unstable burst fracture of first thoracic vertebra, subsequent encounter for fracture with delayed healing"
36258	S22.012K	"Unstable burst fracture of first thoracic vertebra, subsequent encounter for fracture with nonunion"
36259	S22.012S	"Unstable burst fracture of first thoracic vertebra, sequela"
36263	S22.018D	"Other fracture of first thoracic vertebra, subsequent encounter for fracture with routine healing"
36264	S22.018G	"Other fracture of first thoracic vertebra, subsequent encounter for fracture with delayed healing"
36265	S22.018K	"Other fracture of first thoracic vertebra, subsequent encounter for fracture with nonunion"
36266	S22.018S	"Other fracture of first thoracic vertebra, sequela"
36270	S22.019D	"Unspecified fracture of first thoracic vertebra, subsequent encounter for fracture with routine healing"
36271	S22.019G	"Unspecified fracture of first thoracic vertebra, subsequent encounter for fracture with delayed healing"
36272	S22.019K	"Unspecified fracture of first thoracic vertebra, subsequent encounter for fracture with nonunion"
36273	S22.019S	"Unspecified fracture of first thoracic vertebra, sequela"
36278	S22.020D	"Wedge compression fracture of second thoracic vertebra, subsequent encounter for fracture with routine healing"
36279	S22.020G	"Wedge compression fracture of second thoracic vertebra, subsequent encounter for fracture with delayed healing"
36280	S22.020K	"Wedge compression fracture of second thoracic vertebra, subsequent encounter for fracture with nonunion"
36281	S22.020S	"Wedge compression fracture of second thoracic vertebra, sequela"
36285	S22.021D	"Stable burst fracture of second thoracic vertebra, subsequent encounter for fracture with routine healing"
36286	S22.021G	"Stable burst fracture of second thoracic vertebra, subsequent encounter for fracture with delayed healing"
36287	S22.021K	"Stable burst fracture of second thoracic vertebra, subsequent encounter for fracture with nonunion"
36288	S22.021S	"Stable burst fracture of second thoracic vertebra, sequela"
36292	S22.022D	"Unstable burst fracture of second thoracic vertebra, subsequent encounter for fracture with routine healing"
36293	S22.022G	"Unstable burst fracture of second thoracic vertebra, subsequent encounter for fracture with delayed healing"
36294	S22.022K	"Unstable burst fracture of second thoracic vertebra, subsequent encounter for fracture with nonunion"
36295	S22.022S	"Unstable burst fracture of second thoracic vertebra, sequela"
36299	S22.028D	"Other fracture of second thoracic vertebra, subsequent encounter for fracture with routine healing"
36300	S22.028G	"Other fracture of second thoracic vertebra, subsequent encounter for fracture with delayed healing"
36301	S22.028K	"Other fracture of second thoracic vertebra, subsequent encounter for fracture with nonunion"
36302	S22.028S	"Other fracture of second thoracic vertebra, sequela"
36306	S22.029D	"Unspecified fracture of second thoracic vertebra, subsequent encounter for fracture with routine healing"
36307	S22.029G	"Unspecified fracture of second thoracic vertebra, subsequent encounter for fracture with delayed healing"
36308	S22.029K	"Unspecified fracture of second thoracic vertebra, subsequent encounter for fracture with nonunion"
36309	S22.029S	"Unspecified fracture of second thoracic vertebra, sequela"
36314	S22.030D	"Wedge compression fracture of third thoracic vertebra, subsequent encounter for fracture with routine healing"
36315	S22.030G	"Wedge compression fracture of third thoracic vertebra, subsequent encounter for fracture with delayed healing"
36316	S22.030K	"Wedge compression fracture of third thoracic vertebra, subsequent encounter for fracture with nonunion"
36317	S22.030S	"Wedge compression fracture of third thoracic vertebra, sequela"
